year,country_of_birth,visa_subclass,visa_category,settlement_state,processing_days
2023,China,143 Parent,Family,SA,355
2017,China,500 Student,Student,NSW,600
2023,China,485 Temp Graduate,Temporary,VIC,332
2021,Malaysia,485 Temp Graduate,Temporary,VIC,193
2016,Vietnam,189 Skilled Indep,Skilled,QLD,222
2022,Philippines,482 Temp Skill,Temporary,QLD,144
2017,NZ,482 Temp Skill,Temporary,QLD,289
2018,Nepal,801 Partner Perm,Family,NSW,144
2018,China,500 Student,Student,NSW,359
2020,China,500 Student,Student,NSW,663
2016,UK,500 Student,Student,NSW,299
2023,USA,485 Temp Graduate,Temporary,NSW,225
2023,Sri Lanka,190 Skilled Nom,Skilled,WA,86
2018,India,189 Skilled Indep,Skilled,ACT,329
2024,India,485 Temp Graduate,Temporary,NSW,136
2015,Philippines,202 Global Special,Humanitarian,QLD,702
2016,India,485 Temp Graduate,Temporary,NSW,275
2022,India,820 Partner Temp,Family,NSW,266
2017,India,500 Student,Student,NSW,91
2017,Philippines,482 Temp Skill,Temporary,WA,148
2015,India,820 Partner Temp,Family,WA,485
2018,UK,485 Temp Graduate,Temporary,VIC,705
2015,China,482 Temp Skill,Temporary,NSW,202
2021,Nepal,190 Skilled Nom,Skilled,NSW,337
2015,Indonesia,801 Partner Perm,Family,VIC,727
2019,Vietnam,189 Skilled Indep,Skilled,QLD,433
2023,Vietnam,143 Parent,Family,VIC,238
2021,China,189 Skilled Indep,Skilled,QLD,497
2018,China,820 Partner Temp,Family,VIC,484
2016,China,485 Temp Graduate,Temporary,NSW,160
2024,China,143 Parent,Family,VIC,636
2015,Sri Lanka,143 Parent,Family,NSW,64
2019,UK,820 Partner Temp,Family,SA,309
2018,Philippines,801 Partner Perm,Family,NSW,150
2022,Pakistan,482 Temp Skill,Temporary,SA,158
2021,NZ,482 Temp Skill,Temporary,NSW,84
2024,Nepal,190 Skilled Nom,Skilled,NSW,616
2024,India,491 Skilled Regional,Skilled,NSW,126
2022,China,482 Temp Skill,Temporary,NSW,572
2019,Philippines,491 Skilled Regional,Skilled,WA,504
2020,Sri Lanka,189 Skilled Indep,Skilled,SA,435
2023,India,500 Student,Student,QLD,712
2022,India,500 Student,Student,ACT,429
2022,India,500 Student,Student,SA,390
2024,India,500 Student,Student,NSW,561
2018,Bangladesh,500 Student,Student,NSW,250
2023,UK,485 Temp Graduate,Temporary,QLD,86
2022,China,190 Skilled Nom,Skilled,NSW,391
2018,NZ,189 Skilled Indep,Skilled,VIC,724
2022,China,143 Parent,Family,VIC,163
2016,UK,143 Parent,Family,VIC,670
2015,Vietnam,820 Partner Temp,Family,NSW,581
2023,Pakistan,482 Temp Skill,Temporary,NSW,607
2024,Pakistan,482 Temp Skill,Temporary,WA,445
2019,South Korea,190 Skilled Nom,Skilled,VIC,401
2018,Philippines,820 Partner Temp,Family,VIC,585
2017,India,820 Partner Temp,Family,NSW,512
2024,China,485 Temp Graduate,Temporary,NSW,697
2017,India,485 Temp Graduate,Temporary,WA,603
2021,Sri Lanka,482 Temp Skill,Temporary,VIC,331
2023,China,190 Skilled Nom,Skilled,NSW,130
2019,NZ,485 Temp Graduate,Temporary,QLD,202
2024,Malaysia,143 Parent,Family,NSW,649
2018,China,500 Student,Student,NSW,344
2022,China,820 Partner Temp,Family,QLD,103
2017,China,189 Skilled Indep,Skilled,SA,277
2019,Germany,485 Temp Graduate,Temporary,VIC,462
2022,Pakistan,200 Refugee,Humanitarian,VIC,637
2017,Vietnam,485 Temp Graduate,Temporary,SA,44
2023,Pakistan,482 Temp Skill,Temporary,NSW,543
2024,Pakistan,190 Skilled Nom,Skilled,NSW,218
2017,India,485 Temp Graduate,Temporary,VIC,700
2019,India,801 Partner Perm,Family,NSW,416
2015,South Korea,482 Temp Skill,Temporary,SA,203
2018,Pakistan,189 Skilled Indep,Skilled,NSW,52
2021,Pakistan,820 Partner Temp,Family,NSW,500
2016,India,500 Student,Student,VIC,312
2024,Nepal,482 Temp Skill,Temporary,VIC,631
2016,UK,485 Temp Graduate,Temporary,VIC,436
2020,India,485 Temp Graduate,Temporary,NSW,47
2015,India,400 Temp Work,Temporary,NSW,154
2017,Nepal,482 Temp Skill,Temporary,SA,650
2023,Nepal,820 Partner Temp,Family,VIC,356
2018,China,485 Temp Graduate,Temporary,VIC,467
2023,Pakistan,189 Skilled Indep,Skilled,VIC,158
2023,Germany,485 Temp Graduate,Temporary,ACT,371
2019,Vietnam,485 Temp Graduate,Temporary,WA,525
2016,Malaysia,485 Temp Graduate,Temporary,WA,345
2023,India,485 Temp Graduate,Temporary,QLD,483
2024,Philippines,485 Temp Graduate,Temporary,QLD,256
2017,Nepal,485 Temp Graduate,Temporary,NSW,67
2015,Vietnam,491 Skilled Regional,Skilled,QLD,679
2023,NZ,500 Student,Student,VIC,582
2021,India,500 Student,Student,QLD,308
2017,China,820 Partner Temp,Family,QLD,362
2016,India,801 Partner Perm,Family,NSW,118
2019,India,500 Student,Student,VIC,602
2024,Nepal,202 Global Special,Humanitarian,QLD,327
2016,Nepal,482 Temp Skill,Temporary,VIC,57
2022,China,482 Temp Skill,Temporary,WA,179
2017,China,820 Partner Temp,Family,ACT,242
2021,India,189 Skilled Indep,Skilled,VIC,405
2019,China,189 Skilled Indep,Skilled,VIC,624
2021,Nepal,500 Student,Student,VIC,80
2016,Sri Lanka,500 Student,Student,NSW,132
2023,USA,485 Temp Graduate,Temporary,VIC,310
2024,Philippines,801 Partner Perm,Family,NSW,268
2019,Philippines,820 Partner Temp,Family,WA,456
2018,Germany,482 Temp Skill,Temporary,NSW,690
2022,Indonesia,189 Skilled Indep,Skilled,VIC,495
2016,NZ,189 Skilled Indep,Skilled,NSW,343
2015,China,820 Partner Temp,Family,VIC,197
2022,India,400 Temp Work,Temporary,QLD,94
2020,India,500 Student,Student,VIC,90
2021,Philippines,801 Partner Perm,Family,VIC,298
2015,South Korea,485 Temp Graduate,Temporary,VIC,619
2023,Nepal,143 Parent,Family,VIC,500
2021,India,485 Temp Graduate,Temporary,NSW,301
2016,South Korea,202 Global Special,Humanitarian,ACT,592
2021,India,820 Partner Temp,Family,SA,412
2024,India,485 Temp Graduate,Temporary,VIC,176
2017,India,482 Temp Skill,Temporary,VIC,491
2024,India,485 Temp Graduate,Temporary,TAS,507
2024,Pakistan,500 Student,Student,NSW,330
2023,India,500 Student,Student,VIC,307
2019,Nepal,482 Temp Skill,Temporary,SA,501
2019,USA,200 Refugee,Humanitarian,WA,271
2018,NZ,482 Temp Skill,Temporary,SA,86
2022,Nepal,485 Temp Graduate,Temporary,VIC,114
2016,China,143 Parent,Family,SA,651
2020,India,485 Temp Graduate,Temporary,WA,652
2020,Malaysia,820 Partner Temp,Family,ACT,54
2024,China,482 Temp Skill,Temporary,VIC,533
2023,UK,143 Parent,Family,NSW,601
2019,Malaysia,189 Skilled Indep,Skilled,NSW,215
2021,Bangladesh,485 Temp Graduate,Temporary,VIC,116
2022,Pakistan,801 Partner Perm,Family,QLD,607
2020,Philippines,202 Global Special,Humanitarian,NSW,575
2017,UK,189 Skilled Indep,Skilled,WA,288
2016,China,485 Temp Graduate,Temporary,NSW,484
2021,South Korea,820 Partner Temp,Family,NSW,438
2019,Pakistan,200 Refugee,Humanitarian,SA,676
2017,India,500 Student,Student,WA,122
2018,China,485 Temp Graduate,Temporary,WA,511
2015,Nepal,500 Student,Student,QLD,154
2020,Philippines,491 Skilled Regional,Skilled,SA,505
2015,Sri Lanka,485 Temp Graduate,Temporary,VIC,716
2016,Sri Lanka,491 Skilled Regional,Skilled,QLD,351
2022,NZ,143 Parent,Family,VIC,593
2016,Pakistan,202 Global Special,Humanitarian,SA,355
2022,USA,820 Partner Temp,Family,VIC,303
2019,UK,482 Temp Skill,Temporary,NSW,567
2017,Indonesia,400 Temp Work,Temporary,VIC,129
2021,NZ,190 Skilled Nom,Skilled,SA,295
2020,Philippines,500 Student,Student,NSW,600
2023,Indonesia,485 Temp Graduate,Temporary,SA,148
2024,Vietnam,190 Skilled Nom,Skilled,NSW,702
2019,Malaysia,482 Temp Skill,Temporary,QLD,191
2018,Sri Lanka,189 Skilled Indep,Skilled,NSW,405
2021,India,820 Partner Temp,Family,VIC,170
2016,Germany,482 Temp Skill,Temporary,WA,163
2020,India,200 Refugee,Humanitarian,VIC,728
2016,India,482 Temp Skill,Temporary,QLD,564
2017,India,482 Temp Skill,Temporary,ACT,513
2022,Nepal,485 Temp Graduate,Temporary,QLD,597
2022,Philippines,485 Temp Graduate,Temporary,SA,672
2019,Vietnam,491 Skilled Regional,Skilled,NSW,637
2024,UK,485 Temp Graduate,Temporary,NSW,397
2016,Germany,500 Student,Student,ACT,486
2018,India,482 Temp Skill,Temporary,NSW,661
2021,China,485 Temp Graduate,Temporary,VIC,293
2019,USA,491 Skilled Regional,Skilled,NSW,147
2021,UK,485 Temp Graduate,Temporary,NSW,558
2015,China,485 Temp Graduate,Temporary,VIC,555
2022,South Korea,500 Student,Student,QLD,513
2016,Nepal,500 Student,Student,QLD,372
2017,India,190 Skilled Nom,Skilled,ACT,496
2016,India,482 Temp Skill,Temporary,WA,381
2022,South Korea,482 Temp Skill,Temporary,NSW,634
2015,India,482 Temp Skill,Temporary,VIC,336
2024,Philippines,482 Temp Skill,Temporary,NSW,650
2018,China,190 Skilled Nom,Skilled,WA,297
2017,Sri Lanka,801 Partner Perm,Family,VIC,216
2018,Vietnam,189 Skilled Indep,Skilled,NSW,522
2019,China,400 Temp Work,Temporary,NSW,106
2017,China,801 Partner Perm,Family,VIC,170
2022,India,482 Temp Skill,Temporary,NSW,566
2022,China,202 Global Special,Humanitarian,WA,66
2021,China,485 Temp Graduate,Temporary,VIC,400
2023,India,482 Temp Skill,Temporary,QLD,563
2022,India,143 Parent,Family,NSW,603
2016,China,400 Temp Work,Temporary,NSW,255
2017,Philippines,485 Temp Graduate,Temporary,NSW,201
2019,UK,500 Student,Student,VIC,407
2018,Malaysia,482 Temp Skill,Temporary,VIC,499
2018,Nepal,482 Temp Skill,Temporary,VIC,236
2019,UK,400 Temp Work,Temporary,QLD,697
2022,NZ,485 Temp Graduate,Temporary,VIC,452
2020,China,491 Skilled Regional,Skilled,SA,260
2023,NZ,485 Temp Graduate,Temporary,NSW,51
2021,China,482 Temp Skill,Temporary,VIC,106
2015,Indonesia,485 Temp Graduate,Temporary,NSW,197
2024,Vietnam,500 Student,Student,VIC,589
2016,China,190 Skilled Nom,Skilled,VIC,669
2018,Philippines,200 Refugee,Humanitarian,NSW,412
2015,India,143 Parent,Family,NSW,495
2020,India,500 Student,Student,VIC,569
2022,China,500 Student,Student,NSW,128
2017,Bangladesh,500 Student,Student,NSW,539
2024,NZ,485 Temp Graduate,Temporary,VIC,669
2016,NZ,400 Temp Work,Temporary,NSW,243
2024,India,500 Student,Student,VIC,524
2022,NZ,485 Temp Graduate,Temporary,VIC,128
2016,China,200 Refugee,Humanitarian,VIC,117
2016,China,820 Partner Temp,Family,NSW,81
2015,China,482 Temp Skill,Temporary,QLD,172
2021,Philippines,202 Global Special,Humanitarian,QLD,538
2017,Indonesia,482 Temp Skill,Temporary,VIC,300
2024,Pakistan,482 Temp Skill,Temporary,QLD,407
2016,India,143 Parent,Family,VIC,591
2023,China,400 Temp Work,Temporary,QLD,687
2018,UK,500 Student,Student,NSW,661
2015,India,202 Global Special,Humanitarian,VIC,221
2022,India,820 Partner Temp,Family,NSW,105
2021,Sri Lanka,485 Temp Graduate,Temporary,NSW,639
2017,Philippines,500 Student,Student,NSW,138
2018,Nepal,190 Skilled Nom,Skilled,SA,611
2016,Nepal,485 Temp Graduate,Temporary,VIC,322
2016,Pakistan,189 Skilled Indep,Skilled,VIC,155
2021,Nepal,500 Student,Student,QLD,489
2020,India,190 Skilled Nom,Skilled,VIC,185
2017,Indonesia,485 Temp Graduate,Temporary,NSW,436
2017,UK,491 Skilled Regional,Skilled,WA,176
2024,Bangladesh,820 Partner Temp,Family,WA,146
2018,India,500 Student,Student,VIC,497
2019,Pakistan,801 Partner Perm,Family,WA,235
2016,Nepal,190 Skilled Nom,Skilled,WA,389
2015,India,500 Student,Student,VIC,414
2021,Philippines,482 Temp Skill,Temporary,VIC,372
2017,Nepal,801 Partner Perm,Family,WA,699
2022,Malaysia,190 Skilled Nom,Skilled,VIC,336
2017,India,500 Student,Student,QLD,406
2018,UK,200 Refugee,Humanitarian,QLD,439
2021,Vietnam,200 Refugee,Humanitarian,VIC,717
2022,USA,500 Student,Student,WA,174
2018,NZ,482 Temp Skill,Temporary,VIC,544
2022,India,485 Temp Graduate,Temporary,NSW,211
2021,India,500 Student,Student,TAS,545
2023,India,482 Temp Skill,Temporary,NSW,602
2022,India,200 Refugee,Humanitarian,NSW,650
2023,China,485 Temp Graduate,Temporary,WA,39
2017,Sri Lanka,485 Temp Graduate,Temporary,QLD,548
2015,Philippines,820 Partner Temp,Family,VIC,443
2015,India,485 Temp Graduate,Temporary,NSW,119
2018,Nepal,400 Temp Work,Temporary,SA,353
2018,Sri Lanka,500 Student,Student,NSW,285
2017,China,202 Global Special,Humanitarian,VIC,477
2016,UK,189 Skilled Indep,Skilled,VIC,690
2019,India,485 Temp Graduate,Temporary,VIC,149
2018,Philippines,482 Temp Skill,Temporary,WA,175
2015,Philippines,482 Temp Skill,Temporary,WA,592
2023,China,190 Skilled Nom,Skilled,NSW,384
2020,Nepal,820 Partner Temp,Family,WA,595
2016,Malaysia,482 Temp Skill,Temporary,VIC,291
2018,Pakistan,482 Temp Skill,Temporary,QLD,303
2021,India,400 Temp Work,Temporary,SA,697
2016,India,801 Partner Perm,Family,NSW,111
2020,China,189 Skilled Indep,Skilled,QLD,46
2022,India,482 Temp Skill,Temporary,NSW,378
2016,India,202 Global Special,Humanitarian,QLD,260
2020,China,485 Temp Graduate,Temporary,NSW,48
2023,India,820 Partner Temp,Family,NSW,203
2022,India,190 Skilled Nom,Skilled,VIC,664
2019,Pakistan,482 Temp Skill,Temporary,TAS,259
2015,India,202 Global Special,Humanitarian,VIC,476
2024,South Korea,482 Temp Skill,Temporary,VIC,220
2024,NZ,189 Skilled Indep,Skilled,NSW,328
2022,India,482 Temp Skill,Temporary,QLD,142
2017,Nepal,202 Global Special,Humanitarian,WA,725
2021,NZ,801 Partner Perm,Family,QLD,295
2023,Sri Lanka,485 Temp Graduate,Temporary,NSW,646
2020,Germany,482 Temp Skill,Temporary,QLD,669
2024,Vietnam,202 Global Special,Humanitarian,QLD,526
2021,India,500 Student,Student,WA,550
2015,UK,500 Student,Student,QLD,231
2017,Philippines,820 Partner Temp,Family,VIC,576
2024,Nepal,801 Partner Perm,Family,QLD,296
2024,UK,491 Skilled Regional,Skilled,VIC,306
2024,USA,801 Partner Perm,Family,QLD,566
2017,Pakistan,500 Student,Student,QLD,314
2017,Pakistan,801 Partner Perm,Family,ACT,395
2021,China,482 Temp Skill,Temporary,NSW,508
2015,Bangladesh,190 Skilled Nom,Skilled,VIC,607
2023,India,482 Temp Skill,Temporary,SA,364
2019,UK,143 Parent,Family,NSW,297
2022,India,500 Student,Student,NSW,396
2021,Nepal,500 Student,Student,VIC,61
2018,China,190 Skilled Nom,Skilled,QLD,606
2023,Nepal,190 Skilled Nom,Skilled,NSW,460
2017,Vietnam,485 Temp Graduate,Temporary,WA,443
2020,India,189 Skilled Indep,Skilled,VIC,645
2019,India,485 Temp Graduate,Temporary,WA,613
2022,China,491 Skilled Regional,Skilled,NSW,613
2022,China,485 Temp Graduate,Temporary,VIC,322
2019,India,485 Temp Graduate,Temporary,NSW,721
2018,Philippines,500 Student,Student,VIC,700
2017,Vietnam,485 Temp Graduate,Temporary,NSW,682
2015,China,143 Parent,Family,NSW,252
2019,China,485 Temp Graduate,Temporary,NSW,696
2015,Bangladesh,500 Student,Student,NSW,226
2018,India,485 Temp Graduate,Temporary,NSW,49
2024,Bangladesh,190 Skilled Nom,Skilled,VIC,695
2021,China,143 Parent,Family,VIC,73
2018,Malaysia,482 Temp Skill,Temporary,VIC,126
2024,China,820 Partner Temp,Family,NSW,543
2024,China,400 Temp Work,Temporary,VIC,415
2022,Sri Lanka,189 Skilled Indep,Skilled,NSW,87
2018,India,485 Temp Graduate,Temporary,NSW,481
2023,NZ,190 Skilled Nom,Skilled,NSW,376
2022,Sri Lanka,482 Temp Skill,Temporary,VIC,667
2021,Vietnam,500 Student,Student,NSW,48
2019,India,500 Student,Student,NSW,578
2017,Pakistan,500 Student,Student,NSW,295
2017,Philippines,801 Partner Perm,Family,SA,577
2020,India,500 Student,Student,NSW,36
2020,India,190 Skilled Nom,Skilled,QLD,187
2019,Philippines,500 Student,Student,NSW,505
2022,Malaysia,500 Student,Student,QLD,580
2017,Sri Lanka,820 Partner Temp,Family,NSW,85
2016,India,491 Skilled Regional,Skilled,NSW,457
2016,UK,485 Temp Graduate,Temporary,QLD,355
2021,Vietnam,202 Global Special,Humanitarian,VIC,649
2015,India,485 Temp Graduate,Temporary,VIC,411
2018,India,189 Skilled Indep,Skilled,WA,108
2016,Philippines,143 Parent,Family,VIC,427
2015,Vietnam,482 Temp Skill,Temporary,NSW,319
2024,India,820 Partner Temp,Family,SA,224
2018,China,485 Temp Graduate,Temporary,NSW,334
2023,India,202 Global Special,Humanitarian,VIC,559
2019,India,189 Skilled Indep,Skilled,ACT,202
2024,India,485 Temp Graduate,Temporary,ACT,519
2016,China,500 Student,Student,QLD,79
2018,South Korea,482 Temp Skill,Temporary,VIC,51
2017,India,485 Temp Graduate,Temporary,ACT,587
2022,Nepal,820 Partner Temp,Family,WA,621
2017,Indonesia,485 Temp Graduate,Temporary,VIC,471
2020,India,500 Student,Student,QLD,30
2016,Philippines,491 Skilled Regional,Skilled,NSW,442
2015,Malaysia,820 Partner Temp,Family,VIC,325
2023,Vietnam,190 Skilled Nom,Skilled,SA,390
2022,Vietnam,801 Partner Perm,Family,VIC,698
2022,Germany,189 Skilled Indep,Skilled,QLD,396
2024,Philippines,200 Refugee,Humanitarian,VIC,107
2023,Philippines,500 Student,Student,VIC,154
2015,China,801 Partner Perm,Family,NSW,114
2017,Pakistan,143 Parent,Family,VIC,71
2018,China,500 Student,Student,VIC,246
2024,Vietnam,143 Parent,Family,SA,527
2015,Pakistan,820 Partner Temp,Family,VIC,720
2022,Germany,491 Skilled Regional,Skilled,NSW,648
2015,Sri Lanka,500 Student,Student,QLD,92
2016,UK,820 Partner Temp,Family,WA,389
2017,Pakistan,500 Student,Student,QLD,494
2019,India,189 Skilled Indep,Skilled,VIC,659
2023,Philippines,482 Temp Skill,Temporary,NSW,515
2023,UK,482 Temp Skill,Temporary,VIC,479
2018,Philippines,485 Temp Graduate,Temporary,NSW,374
2024,South Korea,485 Temp Graduate,Temporary,QLD,93
2015,UK,485 Temp Graduate,Temporary,VIC,676
2015,Germany,801 Partner Perm,Family,WA,63
2019,South Korea,143 Parent,Family,VIC,261
2018,Sri Lanka,801 Partner Perm,Family,WA,711
2023,South Korea,482 Temp Skill,Temporary,WA,120
2015,India,801 Partner Perm,Family,QLD,423
2023,Philippines,189 Skilled Indep,Skilled,VIC,425
2017,China,482 Temp Skill,Temporary,QLD,231
2022,Sri Lanka,485 Temp Graduate,Temporary,QLD,156
2015,Pakistan,485 Temp Graduate,Temporary,NSW,211
2023,Sri Lanka,189 Skilled Indep,Skilled,TAS,77
2023,Nepal,500 Student,Student,VIC,315
2021,Indonesia,482 Temp Skill,Temporary,TAS,508
2023,Philippines,500 Student,Student,WA,663
2023,China,491 Skilled Regional,Skilled,QLD,254
2023,China,485 Temp Graduate,Temporary,QLD,350
2022,UK,500 Student,Student,VIC,256
2024,UK,820 Partner Temp,Family,VIC,214
2021,China,485 Temp Graduate,Temporary,VIC,144
2022,Nepal,190 Skilled Nom,Skilled,WA,406
2019,China,190 Skilled Nom,Skilled,VIC,617
2024,UK,189 Skilled Indep,Skilled,ACT,43
2015,Nepal,200 Refugee,Humanitarian,QLD,451
2022,UK,190 Skilled Nom,Skilled,NSW,478
2017,NZ,485 Temp Graduate,Temporary,NSW,656
2022,Philippines,482 Temp Skill,Temporary,QLD,706
2016,China,485 Temp Graduate,Temporary,VIC,315
2018,Nepal,190 Skilled Nom,Skilled,VIC,700
2022,China,491 Skilled Regional,Skilled,VIC,262
2018,UK,500 Student,Student,VIC,72
2021,China,189 Skilled Indep,Skilled,VIC,724
2021,China,485 Temp Graduate,Temporary,QLD,630
2016,NZ,190 Skilled Nom,Skilled,VIC,495
2022,Sri Lanka,500 Student,Student,VIC,662
2017,USA,189 Skilled Indep,Skilled,QLD,487
2019,Pakistan,500 Student,Student,WA,725
2020,Germany,485 Temp Graduate,Temporary,NSW,536
2018,Nepal,500 Student,Student,WA,414
2017,Indonesia,189 Skilled Indep,Skilled,QLD,110
2016,Bangladesh,491 Skilled Regional,Skilled,NSW,726
2021,India,190 Skilled Nom,Skilled,VIC,161
2022,Vietnam,801 Partner Perm,Family,VIC,116
2017,China,820 Partner Temp,Family,QLD,551
2021,China,820 Partner Temp,Family,NSW,307
2016,Nepal,200 Refugee,Humanitarian,VIC,102
2021,China,190 Skilled Nom,Skilled,QLD,684
2017,India,485 Temp Graduate,Temporary,NSW,227
2018,India,820 Partner Temp,Family,NSW,88
2022,India,189 Skilled Indep,Skilled,VIC,271
2019,Germany,189 Skilled Indep,Skilled,VIC,218
2019,Philippines,482 Temp Skill,Temporary,NSW,377
2018,China,485 Temp Graduate,Temporary,QLD,537
2023,Indonesia,500 Student,Student,QLD,671
2018,UK,143 Parent,Family,VIC,729
2021,Pakistan,500 Student,Student,TAS,688
2015,Pakistan,482 Temp Skill,Temporary,WA,623
2023,China,500 Student,Student,SA,513
2024,Pakistan,202 Global Special,Humanitarian,VIC,469
2016,China,491 Skilled Regional,Skilled,NSW,358
2019,Bangladesh,189 Skilled Indep,Skilled,VIC,364
2016,India,500 Student,Student,NSW,617
2018,India,189 Skilled Indep,Skilled,QLD,436
2023,India,820 Partner Temp,Family,WA,94
2021,India,500 Student,Student,QLD,250
2016,Sri Lanka,801 Partner Perm,Family,WA,316
2024,India,482 Temp Skill,Temporary,VIC,400
2020,India,190 Skilled Nom,Skilled,VIC,210
2015,India,485 Temp Graduate,Temporary,VIC,271
2018,Germany,491 Skilled Regional,Skilled,VIC,715
2016,China,400 Temp Work,Temporary,VIC,91
2023,South Korea,500 Student,Student,NSW,555
2018,NZ,482 Temp Skill,Temporary,QLD,566
2019,India,820 Partner Temp,Family,WA,401
2023,Philippines,485 Temp Graduate,Temporary,QLD,492
2021,Sri Lanka,482 Temp Skill,Temporary,NSW,603
2015,India,190 Skilled Nom,Skilled,NSW,598
2015,UK,500 Student,Student,NSW,197
2016,China,485 Temp Graduate,Temporary,VIC,636
2022,UK,190 Skilled Nom,Skilled,QLD,601
2021,NZ,143 Parent,Family,WA,462
2018,South Korea,820 Partner Temp,Family,NSW,345
2018,NZ,820 Partner Temp,Family,WA,343
2015,Philippines,820 Partner Temp,Family,WA,579
2015,Nepal,482 Temp Skill,Temporary,WA,211
2021,Sri Lanka,500 Student,Student,VIC,144
2022,Vietnam,485 Temp Graduate,Temporary,QLD,271
2020,Malaysia,500 Student,Student,NSW,266
2022,UK,491 Skilled Regional,Skilled,NSW,580
2019,Sri Lanka,485 Temp Graduate,Temporary,NSW,483
2015,China,485 Temp Graduate,Temporary,NSW,265
2015,Germany,500 Student,Student,VIC,76
2023,China,820 Partner Temp,Family,WA,698
2023,India,190 Skilled Nom,Skilled,NSW,138
2024,Vietnam,200 Refugee,Humanitarian,NSW,264
2018,India,202 Global Special,Humanitarian,WA,400
2022,Vietnam,500 Student,Student,SA,180
2022,Nepal,491 Skilled Regional,Skilled,QLD,667
2021,China,485 Temp Graduate,Temporary,VIC,214
2023,Nepal,485 Temp Graduate,Temporary,VIC,415
2024,Germany,400 Temp Work,Temporary,NSW,249
2017,South Korea,500 Student,Student,NSW,100
2022,South Korea,202 Global Special,Humanitarian,WA,92
2018,China,500 Student,Student,VIC,223
2023,China,485 Temp Graduate,Temporary,VIC,74
2023,Pakistan,143 Parent,Family,VIC,194
2024,Vietnam,189 Skilled Indep,Skilled,NSW,254
2022,Nepal,485 Temp Graduate,Temporary,NSW,462
2023,China,820 Partner Temp,Family,WA,614
2016,India,500 Student,Student,VIC,198
2016,India,143 Parent,Family,QLD,342
2018,Nepal,200 Refugee,Humanitarian,QLD,537
2022,Nepal,485 Temp Graduate,Temporary,QLD,352
2023,Bangladesh,500 Student,Student,NSW,580
2023,India,485 Temp Graduate,Temporary,WA,558
2016,Pakistan,500 Student,Student,QLD,394
2022,Indonesia,482 Temp Skill,Temporary,TAS,679
2020,India,200 Refugee,Humanitarian,WA,397
2016,Philippines,143 Parent,Family,NSW,406
2019,Bangladesh,482 Temp Skill,Temporary,NSW,512
2022,Philippines,200 Refugee,Humanitarian,QLD,624
2016,India,500 Student,Student,WA,317
2023,China,820 Partner Temp,Family,VIC,185
2016,India,500 Student,Student,NSW,420
2015,Germany,500 Student,Student,QLD,148
2018,Pakistan,801 Partner Perm,Family,WA,492
2022,Philippines,485 Temp Graduate,Temporary,NSW,408
2022,Pakistan,202 Global Special,Humanitarian,VIC,601
2023,Nepal,500 Student,Student,WA,151
2016,India,190 Skilled Nom,Skilled,SA,585
2017,Germany,485 Temp Graduate,Temporary,QLD,337
2017,UK,189 Skilled Indep,Skilled,QLD,446
2017,USA,500 Student,Student,WA,616
2019,India,485 Temp Graduate,Temporary,VIC,445
2024,Bangladesh,485 Temp Graduate,Temporary,VIC,394
2022,Vietnam,500 Student,Student,VIC,631
2018,China,500 Student,Student,NSW,148
2024,Nepal,482 Temp Skill,Temporary,NSW,524
2021,China,500 Student,Student,VIC,653
2015,Philippines,400 Temp Work,Temporary,VIC,629
2015,Germany,189 Skilled Indep,Skilled,SA,400
2020,China,820 Partner Temp,Family,NSW,555
2017,Sri Lanka,143 Parent,Family,NSW,204
2017,Bangladesh,500 Student,Student,QLD,156
2018,China,485 Temp Graduate,Temporary,QLD,542
2021,Pakistan,820 Partner Temp,Family,WA,547
2024,Germany,485 Temp Graduate,Temporary,QLD,385
2015,Vietnam,400 Temp Work,Temporary,NSW,578
2024,Vietnam,200 Refugee,Humanitarian,NSW,217
2019,India,500 Student,Student,QLD,498
2018,Nepal,482 Temp Skill,Temporary,QLD,649
2017,China,200 Refugee,Humanitarian,VIC,277
2018,China,500 Student,Student,VIC,542
2019,China,482 Temp Skill,Temporary,QLD,338
2018,China,482 Temp Skill,Temporary,VIC,360
2023,Philippines,143 Parent,Family,VIC,96
2018,Nepal,801 Partner Perm,Family,NSW,655
2017,China,491 Skilled Regional,Skilled,QLD,302
2024,India,485 Temp Graduate,Temporary,VIC,411
2022,Malaysia,189 Skilled Indep,Skilled,NSW,668
2015,Malaysia,485 Temp Graduate,Temporary,NSW,279
2020,UK,143 Parent,Family,NSW,258
2021,Pakistan,500 Student,Student,QLD,679
2016,Germany,500 Student,Student,NSW,324
2018,India,500 Student,Student,SA,359
2016,Bangladesh,482 Temp Skill,Temporary,VIC,517
2015,India,482 Temp Skill,Temporary,WA,601
2020,India,485 Temp Graduate,Temporary,QLD,149
2015,India,500 Student,Student,VIC,292
2019,Sri Lanka,801 Partner Perm,Family,NSW,557
2019,Sri Lanka,190 Skilled Nom,Skilled,SA,640
2021,India,820 Partner Temp,Family,QLD,212
2023,Nepal,190 Skilled Nom,Skilled,QLD,136
2015,China,820 Partner Temp,Family,VIC,648
2016,Pakistan,500 Student,Student,WA,135
2021,Pakistan,190 Skilled Nom,Skilled,NSW,168
2019,Malaysia,820 Partner Temp,Family,NSW,83
2016,China,189 Skilled Indep,Skilled,TAS,707
2016,Sri Lanka,485 Temp Graduate,Temporary,ACT,348
2016,Nepal,500 Student,Student,QLD,150
